Reference Number,Creation Date,End User,Reported By,Summary,Status,Assigned Group,Assigned Analyst,Priority,Major
437456,12/1/2017 14:15,,,,Resolved,End-User Platform Support - East,Becky,3 - Standard (IS),FALSE
437419,12/1/2017 13:47,,,,Resolved,End-User Platform Support - East,Becky,3 - Standard (IS),FALSE
437357,12/1/2017 12:44,,,,Resolved,End-User Platform Support - East,Becky,3 - Standard (IS),FALSE
437195,12/1/2017 10:28,,,,Resolved,End-User Platform Support - East,Ruprecht,1 - Critical (IS),FALSE
437087,12/1/2017 9:45,,,,Resolved,End-User Platform Support - East,Ruprecht,2 - High (IS),FALSE
436958,12/1/2017 8:33,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436936,12/1/2017 8:22,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436865,12/1/2017 7:05,,,,Resolved,End-User Platform Support - East,Frank,1 - Critical (IS),FALSE
436856,12/1/2017 6:31,,,,Resolved,End-User Platform Support - East,Ruprecht,3 - Standard (IS),FALSE
436819,11/30/2017 18:26,,,,Resolved,End-User Platform Support - East,Ruprecht,3 - Standard (IS),FALSE
436659,11/30/2017 14:07,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436607,11/30/2017 13:26,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436443,11/30/2017 11:09,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436408,11/30/2017 10:48,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436235,11/30/2017 8:33,,,,Resolved,End-User Platform Support - East,Frank,1 - Critical (IS),FALSE
436136,11/29/2017 21:07,,,,Resolved,End-User Platform Support - East,Frank,3 - Standard (IS),FALSE
436029,11/29/2017 15:14,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
435734,11/29/2017 11:22,,,,Resolved,End-User Platform Support - East,Ruprecht,3 - Standard (IS),FALSE
435555,11/29/2017 9:15,,,,Resolved,End-User Platform Support - East,Ruprecht,2 - High (IS),FALSE
430690,11/20/2017 14:18,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
430564,11/20/2017 12:22,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
429412,11/17/2017 7:56,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
426796,11/13/2017 10:53,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
425955,11/10/2017 13:04,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
425545,11/10/2017 7:47,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
423943,11/8/2017 7:57,,,,Resolved,End-User Platform Support - East,Judy,3 - Standard (IS),FALSE
